recipient,recipientLabel,recipientType,prize,prizeLabel,awardDate,awardYear,countryLabel
http://www.wikidata.org/entity/Q629583,Шелдон Купер,organization,http://www.wikidata.org/entity/Q38104,Нобелевская премия по физике,,,США
http://www.wikidata.org/entity/Q56509417,Q56509417,organization,http://www.wikidata.org/entity/Q80061,Нобелевская премия по физиологии и медицине,,,Королевство Нидерландов
http://www.wikidata.org/entity/Q42247,Сюлли-Прюдом,person,http://www.wikidata.org/entity/Q37922,Нобелевская премия по литературе,1901-01-01T00:00:00Z,1901,Франция
http://www.wikidata.org/entity/Q35149,Вильгельм Рентген,person,http://www.wikidata.org/entity/Q38104,Нобелевская премия по физике,1901-01-01T00:00:00Z,1901,Королевство Пруссия
http://www.wikidata.org/entity/Q35149,Вильгельм Рентген,person,http://www.wikidata.org/entity/Q38104,Нобелевская премия по физике,1901-01-01T00:00:00Z,1901,Веймарская республика
http://www.wikidata.org/entity/Q35149,Вильгельм Рентген,person,http://www.wikidata.org/entity/Q38104,Нобелевская премия по физике,1901-01-01T00:00:00Z,1901,Германская империя
http://www.wikidata.org/entity/Q76425,Эмиль Адольф фон Беринг,person,http://www.wikidata.org/entity/Q80061,Нобелевская премия по физиологии и медицине,1901-01-01T00:00:00Z,1901,Королевство Пруссия
http://www.wikidata.org/entity/Q76425,Эмиль Адольф фон Беринг,person,http://www.wikidata.org/entity/Q80061,Нобелевская премия по физиологии и медицине,1901-01-01T00:00:00Z,1901,Германский рейх
http://www.wikidata.org/entity/Q102822,Якоб Вант-Гофф,person,http://www.wikidata.org/entity/Q44585,Нобелевская премия по химии,1901-01-01T00:00:00Z,1901,Королевство Нидерландов
http://www.wikidata.org/entity/Q25351,Теодор Моммзен,person,http://www.wikidata.org/entity/Q37922,Нобелевская премия по литературе,1902-01-01T00:00:00Z,1902,Шлезвиг
http://www.wikidata.org/entity/Q25351,Теодор Моммзен,person,http://www.wikidata.org/entity/Q37922,Нобелевская премия по литературе,1902-01-01T00:00:00Z,1902,Королевство Пруссия
http://www.wikidata.org/entity/Q25351,Теодор Моммзен,person,http://www.wikidata.org/entity/Q37922,Нобелевская премия по литературе,1902-01-01T00:00:00Z,1902,Германский рейх
http://www.wikidata.org/entity/Q79000,Питер Зееман,person,http://www.wikidata.org/entity/Q38104,Нобелевская премия по физике,1902-01-01T00:00:00Z,1902,Королевство Нидерландов
http://www.wikidata.org/entity/Q41688,Хендрик Антон Лоренц,person,http://www.wikidata.org/entity/Q38104,Нобелевская премия по физике,1902-01-01T00:00:00Z,1902,Королевство Нидерландов
http://www.wikidata.org/entity/Q102034,Рональд Росс,person,http://www.wikidata.org/entity/Q80061,Нобелевская премия по физиологии и медицине,1902-01-01T00:00:00Z,1902,Великобритания
http://www.wikidata.org/entity/Q70554,Герман Эмиль Фишер,person,http://www.wikidata.org/entity/Q44585,Нобелевская премия по химии,1902-01-01T00:00:00Z,1902,Германия
http://www.wikidata.org/entity/Q70554,Герман Эмиль Фишер,person,http://www.wikidata.org/entity/Q44585,Нобелевская премия по химии,1902-01-01T00:00:00Z,1902,Германская империя
http://www.wikidata.org/entity/Q46405,Бьёрнстьерне Бьёрнсон,person,http://www.wikidata.org/entity/Q37922,Нобелевская премия по литературе,1903-01-01T00:00:00Z,1903,Норвегия
http://www.wikidata.org/entity/Q41269,Антуан Анри Беккерель,person,http://www.wikidata.org/entity/Q38104,Нобелевская премия по физике,1903-01-01T00:00:00Z,1903,Франция
http://www.wikidata.org/entity/Q7186,Мария Склодовская-Кюри,person,http://www.wikidata.org/entity/Q38104,Нобелевская премия по физике,1903-01-01T00:00:00Z,1903,Франция
http://www.wikidata.org/entity/Q7186,Мария Склодовская-Кюри,person,http://www.wikidata.org/entity/Q38104,Нобелевская премия по физике,1903-01-01T00:00:00Z,1903,Российская империя
