laureate,laureateLabel,prize,prizeLabel,awardDate,awardYear,citizenshipLabel,genderLabel,birthDate,birthYear,occupationLabel
http://www.wikidata.org/entity/Q42247,Сюлли-Прюдом,http://www.wikidata.org/entity/Q37922,Нобелевская премия по литературе,1901-01-01T00:00:00Z,1901,Франция,мужской пол,1839-03-16T00:00:00Z,1839,писатель
http://www.wikidata.org/entity/Q42247,Сюлли-Прюдом,http://www.wikidata.org/entity/Q37922,Нобелевская премия по литературе,1901-01-01T00:00:00Z,1901,Франция,мужской пол,1839-03-16T00:00:00Z,1839,поэт
http://www.wikidata.org/entity/Q42247,Сюлли-Прюдом,http://www.wikidata.org/entity/Q37922,Нобелевская премия по литературе,1901-01-01T00:00:00Z,1901,Франция,мужской пол,1839-03-16T00:00:00Z,1839,философ
http://www.wikidata.org/entity/Q42247,Сюлли-Прюдом,http://www.wikidata.org/entity/Q37922,Нобелевская премия по литературе,1901-01-01T00:00:00Z,1901,Франция,мужской пол,1839-03-16T00:00:00Z,1839,эссеист
http://www.wikidata.org/entity/Q42247,Сюлли-Прюдом,http://www.wikidata.org/entity/Q37922,Нобелевская премия по литературе,1901-01-01T00:00:00Z,1901,Франция,мужской пол,1839-03-16T00:00:00Z,1839,автор дневника
http://www.wikidata.org/entity/Q35149,Вильгельм Рентген,http://www.wikidata.org/entity/Q38104,Нобелевская премия по физике,1901-01-01T00:00:00Z,1901,Королевство Пруссия,мужской пол,1845-03-27T00:00:00Z,1845,инженер
http://www.wikidata.org/entity/Q35149,Вильгельм Рентген,http://www.wikidata.org/entity/Q38104,Нобелевская премия по физике,1901-01-01T00:00:00Z,1901,Веймарская республика,мужской пол,1845-03-27T00:00:00Z,1845,инженер
http://www.wikidata.org/entity/Q35149,Вильгельм Рентген,http://www.wikidata.org/entity/Q38104,Нобелевская премия по физике,1901-01-01T00:00:00Z,1901,Германская империя,мужской пол,1845-03-27T00:00:00Z,1845,инженер
http://www.wikidata.org/entity/Q35149,Вильгельм Рентген,http://www.wikidata.org/entity/Q38104,Нобелевская премия по физике,1901-01-01T00:00:00Z,1901,Королевство Пруссия,мужской пол,1845-03-27T00:00:00Z,1845,профессор
http://www.wikidata.org/entity/Q35149,Вильгельм Рентген,http://www.wikidata.org/entity/Q38104,Нобелевская премия по физике,1901-01-01T00:00:00Z,1901,Веймарская республика,мужской пол,1845-03-27T00:00:00Z,1845,профессор
http://www.wikidata.org/entity/Q35149,Вильгельм Рентген,http://www.wikidata.org/entity/Q38104,Нобелевская премия по физике,1901-01-01T00:00:00Z,1901,Германская империя,мужской пол,1845-03-27T00:00:00Z,1845,профессор
http://www.wikidata.org/entity/Q35149,Вильгельм Рентген,http://www.wikidata.org/entity/Q38104,Нобелевская премия по физике,1901-01-01T00:00:00Z,1901,Королевство Пруссия,мужской пол,1845-03-27T00:00:00Z,1845,физик
http://www.wikidata.org/entity/Q35149,Вильгельм Рентген,http://www.wikidata.org/entity/Q38104,Нобелевская премия по физике,1901-01-01T00:00:00Z,1901,Веймарская республика,мужской пол,1845-03-27T00:00:00Z,1845,физик
http://www.wikidata.org/entity/Q35149,Вильгельм Рентген,http://www.wikidata.org/entity/Q38104,Нобелевская премия по физике,1901-01-01T00:00:00Z,1901,Германская империя,мужской пол,1845-03-27T00:00:00Z,1845,физик
http://www.wikidata.org/entity/Q76425,Эмиль Адольф фон Беринг,http://www.wikidata.org/entity/Q80061,Нобелевская премия по физиологии и медицине,1901-01-01T00:00:00Z,1901,Королевство Пруссия,мужской пол,1854-03-15T00:00:00Z,1854,учёный
http://www.wikidata.org/entity/Q76425,Эмиль Адольф фон Беринг,http://www.wikidata.org/entity/Q80061,Нобелевская премия по физиологии и медицине,1901-01-01T00:00:00Z,1901,Германский рейх,мужской пол,1854-03-15T00:00:00Z,1854,учёный
http://www.wikidata.org/entity/Q76425,Эмиль Адольф фон Беринг,http://www.wikidata.org/entity/Q80061,Нобелевская премия по физиологии и медицине,1901-01-01T00:00:00Z,1901,Королевство Пруссия,мужской пол,1854-03-15T00:00:00Z,1854,врач
http://www.wikidata.org/entity/Q76425,Эмиль Адольф фон Беринг,http://www.wikidata.org/entity/Q80061,Нобелевская премия по физиологии и медицине,1901-01-01T00:00:00Z,1901,Германский рейх,мужской пол,1854-03-15T00:00:00Z,1854,врач
http://www.wikidata.org/entity/Q76425,Эмиль Адольф фон Беринг,http://www.wikidata.org/entity/Q80061,Нобелевская премия по физиологии и медицине,1901-01-01T00:00:00Z,1901,Королевство Пруссия,мужской пол,1854-03-15T00:00:00Z,1854,преподаватель университета
http://www.wikidata.org/entity/Q76425,Эмиль Адольф фон Беринг,http://www.wikidata.org/entity/Q80061,Нобелевская премия по физиологии и медицине,1901-01-01T00:00:00Z,1901,Германский рейх,мужской пол,1854-03-15T00:00:00Z,1854,преподаватель университета
http://www.wikidata.org/entity/Q76425,Эмиль Адольф фон Беринг,http://www.wikidata.org/entity/Q80061,Нобелевская премия по физиологии и медицине,1901-01-01T00:00:00Z,1901,Королевство Пруссия,мужской пол,1854-03-15T00:00:00Z,1854,физиолог
http://www.wikidata.org/entity/Q76425,Эмиль Адольф фон Беринг,http://www.wikidata.org/entity/Q80061,Нобелевская премия по физиологии и медицине,1901-01-01T00:00:00Z,1901,Германский рейх,мужской пол,1854-03-15T00:00:00Z,1854,физиолог
http://www.wikidata.org/entity/Q76425,Эмиль Адольф фон Беринг,http://www.wikidata.org/entity/Q80061,Нобелевская премия по физиологии и медицине,1901-01-01T00:00:00Z,1901,Королевство Пруссия,мужской пол,1854-03-15T00:00:00Z,1854,врач-иммунолог
http://www.wikidata.org/entity/Q76425,Эмиль Адольф фон Беринг,http://www.wikidata.org/entity/Q80061,Нобелевская премия по физиологии и медицине,1901-01-01T00:00:00Z,1901,Германский рейх,мужской пол,1854-03-15T00:00:00Z,1854,врач-иммунолог
http://www.wikidata.org/entity/Q76425,Эмиль Адольф фон Беринг,http://www.wikidata.org/entity/Q80061,Нобелевская премия по физиологии и медицине,1901-01-01T00:00:00Z,1901,Королевство Пруссия,мужской пол,1854-03-15T00:00:00Z,1854,бактериолог
http://www.wikidata.org/entity/Q76425,Эмиль Адольф фон Беринг,http://www.wikidata.org/entity/Q80061,Нобелевская премия по физиологии и медицине,1901-01-01T00:00:00Z,1901,Германский рейх,мужской пол,1854-03-15T00:00:00Z,1854,бактериолог
http://www.wikidata.org/entity/Q76425,Эмиль Адольф фон Беринг,http://www.wikidata.org/entity/Q80061,Нобелевская премия по физиологии и медицине,1901-01-01T00:00:00Z,1901,Королевство Пруссия,мужской пол,1854-03-15T00:00:00Z,1854,автор нехудожественной литературы
http://www.wikidata.org/entity/Q76425,Эмиль Адольф фон Беринг,http://www.wikidata.org/entity/Q80061,Нобелевская премия по физиологии и медицине,1901-01-01T00:00:00Z,1901,Германский рейх,мужской пол,1854-03-15T00:00:00Z,1854,автор нехудожественной литературы
http://www.wikidata.org/entity/Q102822,Якоб Вант-Гофф,http://www.wikidata.org/entity/Q44585,Нобелевская премия по химии,1901-01-01T00:00:00Z,1901,Королевство Нидерландов,мужской пол,1852-08-30T00:00:00Z,1852,инженер
http://www.wikidata.org/entity/Q102822,Якоб Вант-Гофф,http://www.wikidata.org/entity/Q44585,Нобелевская премия по химии,1901-01-01T00:00:00Z,1901,Королевство Нидерландов,мужской пол,1852-08-30T00:00:00Z,1852,физик
http://www.wikidata.org/entity/Q102822,Якоб Вант-Гофф,http://www.wikidata.org/entity/Q44585,Нобелевская премия по химии,1901-01-01T00:00:00Z,1901,Королевство Нидерландов,мужской пол,1852-08-30T00:00:00Z,1852,геолог
http://www.wikidata.org/entity/Q102822,Якоб Вант-Гофф,http://www.wikidata.org/entity/Q44585,Нобелевская премия по химии,1901-01-01T00:00:00Z,1901,Королевство Нидерландов,мужской пол,1852-08-30T00:00:00Z,1852,химик
http://www.wikidata.org/entity/Q102822,Якоб Вант-Гофф,http://www.wikidata.org/entity/Q44585,Нобелевская премия по химии,1901-01-01T00:00:00Z,1901,Королевство Нидерландов,мужской пол,1852-08-30T00:00:00Z,1852,преподаватель университета
http://www.wikidata.org/entity/Q102822,Якоб Вант-Гофф,http://www.wikidata.org/entity/Q44585,Нобелевская премия по химии,1901-01-01T00:00:00Z,1901,Королевство Нидерландов,мужской пол,1852-08-30T00:00:00Z,1852,stereochemist
http://www.wikidata.org/entity/Q25351,Теодор Моммзен,http://www.wikidata.org/entity/Q37922,Нобелевская премия по литературе,1902-01-01T00:00:00Z,1902,Шлезвиг,мужской пол,1817-11-30T00:00:00Z,1817,писатель
